name,category,price,in_stock
צבע קיר לבן מט 5 ליטר,צבעים,89,1
צבע קיר אפור מט 5 ליטר,צבעים,89,1
צבע קיר לבן מט 18 ליטר,צבעים,289,1
צבע אקרילי חוץ לבן 5 ליטר,צבעים,159,1
צבע יסוד פריימר 1 ליטר,צבעים,45,0
צבע לתקרה לבן 5 ליטר,צבעים,79,1
מברשת צביעה 5 ס״מ,מברשות,12,1
מברשת צביעה 2.5 ס״מ,מברשות,8,1
מברשת צביעה 10 ס״מ,מברשות,22,0
סט מברשות 3 יחידות,מברשות,29,1
רולר צביעה 24 ס״מ,רולרים,24,1
רולר צביעה מיני 11 ס״מ,רולרים,14,1
ידית טלסקופית לרולר,אביזרי צביעה,39,1
מגש צבע פלסטיק,אביזרי צביעה,15,1
נייר מסקינג טייפ 25 מ״מ,טייפ,9,1
נייר מסקינג טייפ 48 מ״מ,טייפ,14,0
סרט בידוד שחור,טייפ,6,1
מברג פיליפס בינוני,כלי עבודה,18,1
פטיש 500 גרם,כלי עבודה,35,1
מטר גלילה 5 מטר,כלי עבודה,25,0
